SPEC,TYPE,TYPE_CODE,ORDER,DESCRIPTION,SHORT_DESCRIPTION,FIRST_SIZE,FIRST_SIZE_NUMBER,SECOND_SIZE,SECOND_SIZE_NUMBER,SCH,FACE,RATING,WEIGHT,AREA,TAG,CO,CO_2.1,CO_2.2,CO_3.1,CO_3.2
CS3SA1,PP,PE,1,"ASTM A106 Gr.B, S-80, Seamless, ASME B36.10, PE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, PE, SCH 80","1/2""",0.5,-,-,80,PE,-,1.62,21.3,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,PE,1,"ASTM A106 Gr.B, S-80, Seamless, ASME B36.10, PE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, PE, SCH 80","3/4""",0.75,-,-,80,PE,-,2.2,26.7,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,PE,1,"ASTM A106 Gr.B, S-80, Seamless, ASME B36.10, PE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, PE, SCH 80","1""",1,-,-,80,PE,-,3.24,33.4,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,PE,1,"ASTM A106 Gr.B, S-80, Seamless, ASME B36.10, PE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, PE, SCH 80","1-1/2""",1.5,-,-,80,PE,-,5.41,48.3,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,BE,1,"ASTM A106 Gr.B, S-80, Seamless, ASME B36.10, BE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, BW, SCH 80","2""",2,-,-,80,BE,-,7.48,60.3,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,BE,1,"ASTM A106 Gr.B, S-80, Seamless, ASME B36.10, BE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, BW, SCH 80","3""",3,-,-,80,BE,-,15.27,88.9,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,BE,1,"ASTM A106 Gr.B, S-80, Seamless, ASME B36.10, BE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, BW, SCH 80","4""",4,-,-,80,BE,-,22.32,114.3,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,BE,1,"ASTM A106 Gr.B, S-80, Seamless, ASME B36.10, BE","PIPE, SEAMLESS, CS, ASTM A106 Gr.B, ASME B36.10, BW, SCH 80","6""",6,-,-,80,BE,-,42.56,168.3,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,BE,1,"API 5L Gr.B, S-20, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BW, SCH 20","8""",8,-,-,20,BE,-,33.32,219.1,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,BE,1,"API 5L Gr.B, S-20, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BW, SCH 20","10""",10,-,-,20,BE,-,41.76,273.1,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,BE,1,"API 5L Gr.B, S-20, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BW, SCH 20","12""",12,-,-,20,BE,-,49.71,323.9,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,BE,1,"API 5L Gr.B, S-20, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BW, SCH 20","14""",14,-,-,20,BE,-,67.91,355.6,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
CS3SA1,PP,BE,1,"API 5L Gr.B, S-20, Seamless, ASME B36.10, PSL2, BE","PIPE, SEAMLESS, CS, API 5L Gr.B, ASME B36.10, PSL2, BW, SCH 20","16""",16,-,-,20,BE,-,77.83,406.4,-,SUMINISTRO DE TUBERÍAS Y ACCESORIOS,PREFABRICACIÓN DE TUBERÍA EN TALLER,PREFABRICACIÓN EN TALLER DE TUBERÍA DE ACERO AL CARBÓN DE Ø ,MONTAJE AÉREO DE TUBERÍA PREFABRICADA,MONTAJE AÉREO DE TUBERÍA DE Ø 
